Latitude (decimal degrees):	50.763
Longitude (decimal degrees):	6.074
Elevation (m):	190
Radiation database:	PVGIS-SARAH2


Slope: 42 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	20.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,2.8,2.83,0.0
20200101:0110,0.0,0.0,0.0,2.55,2.69,0.0
20200101:0210,0.0,0.0,0.0,1.75,2.07,0.0
20200101:0310,0.0,0.0,0.0,1.01,1.93,0.0
20200101:0410,0.0,0.0,0.0,0.42,2.14,0.0
20200101:0510,0.0,0.0,0.0,0.07,2.28,0.0
20200101:0610,0.0,0.0,0.0,-0.03,2.21,0.0
20200101:0710,0.0,0.0,0.0,0.34,2.48,0.0
20200101:0810,99.0,14.94,3.17,0.32,2.48,0.0
20200101:0910,8094.4,459.78,9.32,1.17,2.28,0.0
20200101:1010,11167.6,645.02,13.7,2.81,2.0,0.0
20200101:1110,12279.8,721.64,15.97,4.48,1.79,0.0
20200101:1210,12401.2,737.02,15.89,5.58,1.45,0.0
20200101:1310,10849.0,643.39,13.49,6.32,1.17,0.0
20200101:1410,7672.6,452.55,8.99,6.28,0.9,0.0
20200101:1510,39.4,9.96,2.75,5.49,1.24,0.0
20200101:1610,0.0,0.0,0.0,3.33,1.93,0.0
20200101:1710,0.0,0.0,0.0,1.58,2.34,0.0
20200101:1810,0.0,0.0,0.0,0.84,2.55,0.0
20200101:1910,0.0,0.0,0.0,0.5,2.83,0.0
20200101:2010,0.0,0.0,0.0,0.3,2.9,0.0
20200101:2110,0.0,0.0,0.0,0.09,2.83,0.0
20200101:2210,0.0,0.0,0.0,0.03,2.76,0.0
20200101:2310,0.0,0.0,0.0,-0.11,2.48,0.0
20200102:0010,0.0,0.0,0.0,-0.11,2.41,0.0
20200102:0110,0.0,0.0,0.0,-0.17,2.55,0.0
20200102:0210,0.0,0.0,0.0,0.03,2.62,0.0
20200102:0310,0.0,0.0,0.0,0.38,2.69,0.0
20200102:0410,0.0,0.0,0.0,0.9,2.69,0.0
20200102:0510,0.0,0.0,0.0,1.29,2.76,0.0
20200102:0610,0.0,0.0,0.0,1.94,2.9,0.0
20200102:0710,0.0,0.0,0.0,0.92,3.24,0.0
20200102:0810,98.2,14.94,3.2,1.58,3.31,0.0
20200102:0910,7657.4,434.82,9.36,2.39,3.31,0.0
20200102:1010,5505.2,317.03,13.76,3.32,3.38,0.0
20200102:1110,9017.8,514.51,16.04,4.17,3.66,0.0
20200102:1210,2588.0,160.66,15.99,4.65,3.93,0.0
20200102:1310,3495.2,209.59,13.6,4.98,4.07,0.0
20200102:1410,1514.6,101.39,9.11,4.89,4.48,0.0
20200102:1510,57.4,11.62,2.88,4.6,4.41,0.0
20200102:1610,0.0,0.0,0.0,4.31,4.34,0.0
20200102:1710,0.0,0.0,0.0,4.29,4.41,0.0
20200102:1810,0.0,0.0,0.0,4.28,4.55,0.0
20200102:1910,0.0,0.0,0.0,4.51,4.62,0.0
20200102:2010,0.0,0.0,0.0,4.63,4.55,0.0
20200102:2110,0.0,0.0,0.0,4.96,4.69,0.0
20200102:2210,0.0,0.0,0.0,5.28,5.03,0.0
20200102:2310,0.0,0.0,0.0,5.65,5.31,0.0
20200103:0010,0.0,0.0,0.0,5.89,5.38,0.0
20200103:0110,0.0,0.0,0.0,6.11,5.59,0.0
20200103:0210,0.0,0.0,0.0,6.31,5.79,0.0
20200103:0310,0.0,0.0,0.0,6.32,5.79,0.0
20200103:0410,0.0,0.0,0.0,6.27,5.79,0.0
